country,military_spending
United States,916.0
China,296.0
Russia,130.0
India,83.6
Saudi Arabia,75.8
United Kingdom,74.9
Germany,66.8
Ukraine,64.8
France,61.3
Japan,50.2
South Korea,47.9
Italy,35.5
Australia,32.3
Poland,31.6
Israel,27.5
Canada,27.2
Spain,23.7
Brazil,22.9
Algeria,18.3
Netherlands,16.6
Taiwan,19.8
Turkey,15.8
Singapore,13.2
Mexico,11.8
Colombia,10.7
Iran,10.3
Indonesia,9.5
Sweden,8.8
Norway,8.7
Pakistan,8.5
Denmark,8.1
Kuwait,7.8
Greece,7.7
Belgium,7.6
Finland,7.3
Switzerland,6.3
Oman,5.9
Thailand,5.8
Romania,5.6
Chile,5.5
