country,population
China,1409670000
India,1404910000
United States,340110988
Indonesia,282477584
Pakistan,241499431
Nigeria,223800000
Brazil,203080756
Bangladesh,169828911
Russia,146150789
Mexico,130154247
Japan,123740000
Philippines,114163719
Ethiopia,109499000
Egypt,105914499
Democratic Republic of the Congo,105247000
Vietnam,100309210
Iran,85961000
Turkey,85372377
Germany,84708010
France,68551000
United Kingdom,68265209
Thailand,65969270
South Africa,63015904
Tanzania,61741120
Italy,58968499
Myanmar,56712559
Colombia,52695952
Kenya,52428290
South Korea,51248233
Sudan,50448963
Spain,48946035
Argentina,47067441
Algeria,46700000
Uganda,45935046
Iraq,44414800
Canada,41465298
Poland,37532000
Uzbekistan,37355356
Morocco,36828330
Angola,35121734
Afghanistan,34262840
Malaysia,34112400
Peru,34038457
Ukraine,33443000
Mozambique,33244414
Ghana,33007618
Yemen,32305264
Saudi Arabia,32175224
Madagascar,30811969
Ivory Coast,29389150
